[2026-03-17T07:12:40.048Z] GET http://localhost:3000/_next/static/chunks/src_app_providers_tsx_9c18dcf0._.js → 200 (42ms, 3749B)
[2026-03-17T07:12:40.048Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1cf6b850._.js → 200 (42ms, 363B)
[2026-03-17T07:12:40.048Z] GET http://localhost:3000/_next/static/chunks/node_modules_bf51fe24._.js → 200 (67ms, 453872B)
[2026-03-17T07:12:40.048Z] GET http://localhost:3000/_next/static/chunks/src_697c3315._.js → 200 (47ms, 25632B)
[2026-03-17T07:12:40.048Z] GET http://localhost:3000/_next/static/chunks/src_app_sign-up_%5B%5B___sign-up%5D%5D_page_tsx_c4469048._.js → 200 (56ms, 289B)
[2026-03-17T07:12:40.048Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (57ms, 206B)
[2026-03-17T07:12:40.121Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (47ms, 15433B)
[2026-03-17T07:12:40.122Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (41ms, 288B)
[2026-03-17T07:13:15.857Z] POST http://localhost:3000/api/auth → pending (?ms, ?B)
[2026-03-17T07:13:17.108Z] POST http://localhost:3000/sign-up → 307 (475ms, ?B)
[2026-03-17T07:13:17.538Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (10ms, 28356B)
[2026-03-17T07:13:17.583Z] POST http://localhost:3000/app → pending (?ms, ?B)
[2026-03-17T07:13:18.755Z] GET http://localhost:3000/_next/static/chunks/node_modules_3d332450._.js → 200 (21ms, 346018B)
[2026-03-17T07:13:18.755Z] GET http://localhost:3000/_next/static/chunks/_c5d8c4b7._.js → 200 (13ms, 40061B)
[2026-03-17T07:13:18.756Z] GET http://localhost:3000/_next/static/chunks/src_app_app_layout_tsx_c4469048._.js → 200 (11ms, 286B)
[2026-03-17T07:13:18.756Z] GET http://localhost:3000/_next/static/chunks/_41b4e934._.js → 200 (13ms, 48427B)
[2026-03-17T07:13:18.756Z] GET http://localhost:3000/_next/static/chunks/src_app_app_page_tsx_f56eeb8a._.js → 200 (12ms, 240B)
[2026-03-17T07:13:18.765Z] GET http://localhost:3000/onboarding?_rsc=1dqmx → pending (?ms, ?B)
[2026-03-17T07:13:19.451Z] GET http://localhost:3000/_next/static/chunks/node_modules_9cbaed03._.js → 200 (39ms, 589333B)
[2026-03-17T07:13:19.451Z] GET http://localhost:3000/_next/static/chunks/_41ddaf86._.js → 200 (17ms, 67699B)
[2026-03-17T07:13:19.451Z] GET http://localhost:3000/_next/static/chunks/src_app_onboarding_page_tsx_c4469048._.js → 200 (15ms, 286B)
[2026-03-17T07:13:19.505Z] GET http://localhost:3000/_next/static/chunks/node_modules_9cbaed03._.js → 200 (12ms, 589333B)
[2026-03-17T07:13:19.505Z] GET http://localhost:3000/_next/static/chunks/_41ddaf86._.js → 200 (10ms, 67699B)
[2026-03-17T07:13:19.505Z] GET http://localhost:3000/_next/static/chunks/src_app_onboarding_page_tsx_c4469048._.js → 200 (10ms, 286B)
[2026-03-17T07:13:20.019Z] POST http://localhost:3000/api/auth → 200 (374ms, 642B)
[2026-03-17T07:16:56.586Z] GET http://localhost:3000/app?_rsc=l2yg0 → pending (?ms, ?B)
[2026-03-17T07:16:56.587Z] GET http://localhost:3000/app?_rsc=l2yg0 → pending (?ms, ?B)
[2026-03-17T07:16:58.114Z] GET http://localhost:3000/_next/static/chunks/node_modules_3d332450._.js → 200 (11ms, 346018B)
[2026-03-17T07:16:58.114Z] GET http://localhost:3000/_next/static/chunks/_c5d8c4b7._.js → 200 (9ms, 40061B)
[2026-03-17T07:16:58.115Z] GET http://localhost:3000/_next/static/chunks/src_app_app_layout_tsx_c4469048._.js → 200 (7ms, 286B)
[2026-03-17T07:16:58.115Z] GET http://localhost:3000/_next/static/chunks/_41b4e934._.js → 200 (10ms, 48427B)
[2026-03-17T07:16:58.116Z] GET http://localhost:3000/_next/static/chunks/src_app_app_page_tsx_f56eeb8a._.js → 200 (7ms, 240B)
[2026-03-17T07:17:54.000Z] GET http://localhost:3000/app/j979kjvfnrr1zfdnekpq8dqjnh832k51?_rsc=1bajn → pending (?ms, ?B)
[2026-03-17T07:18:04.258Z] GET http://localhost:3000/_next/static/chunks/src_62b565bb._.js → 200 (8ms, 148695B)
[2026-03-17T07:18:04.259Z] GET http://localhost:3000/_next/static/chunks/node_modules_5c4e19d6._.js → 200 (18ms, 720733B)
[2026-03-17T07:18:04.259Z] GET http://localhost:3000/_next/static/chunks/src_app_app_%5BpostId%5D_page_tsx_f56eeb8a._.js → 200 (7ms, 289B)
[2026-03-17T07:18:04.494Z] GET http://localhost:3000/_next/static/chunks/src_62b565bb._.js → 200 (32ms, 148695B)
[2026-03-17T07:18:04.495Z] GET http://localhost:3000/_next/static/chunks/node_modules_5c4e19d6._.js → 200 (156ms, 720733B)
[2026-03-17T07:18:04.503Z] GET http://localhost:3000/_next/static/chunks/src_app_app_%5BpostId%5D_page_tsx_f56eeb8a._.js → 200 (21ms, 289B)
[2026-03-17T07:23:23.372Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (75ms, 2213B)
[2026-03-17T07:25:05.949Z] GET http://localhost:3000/app/j979kjvfnrr1zfdnekpq8dqjnh832k51 → pending (?ms, ?B)
[2026-03-17T07:25:07.535Z] GET http://localhost:3000/_next/static/media/5f402bd2d8eef81a-s.p.b72f0478.woff2 → 200 (3ms, ?B)
[2026-03-17T07:25:07.538Z] GET http://localhost:3000/_next/static/media/a343f882a40d2cc9-s.p.71e1367e.woff2 → 200 (?ms, ?B)
[2026-03-17T07:25:07.538Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__6d41bae8._.css → 200 (2ms, 71458B)
[2026-03-17T07:25:07.538Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (2ms, 671B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (30ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (33ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → pending (?ms, ?B)
[2026-03-17T07:25:07.539Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (34ms, ?B)
